RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,has_special_value
0.12406668235483956,36,0,0.37940740732539424,8.071218539969863,8,0,2,0,1.0,0
0.2821204419669469,59,0,0.6583949759747495,8.006700845440367,11,0,2,0,0.0,0
0.0504727801577987,52,0,0.2038328998740598,9.627997520849709,16,0,1,0,2.0,0
0.08775243092465691,64,0,6.606650186198215,8.597297435657898,4,0,0,0,0.0,0
0.5968384981677892,21,0,2.5649493574615367,8.597297435657898,1,0,0,0,0.0,0
0.4965849497867367,73,0,0.4596786527779125,8.082402253926244,5,0,1,0,0.0,0
0.6439877646754891,37,0,0.310408678106635,8.13593277200489,11,0,0,0,4.0,0
0.693147130559944,50,0,0.0,8.03398273468322,0,0,0,0,0.0,0
0.03174470946287484,37,0,0.4582629533246011,8.630700432209832,6,0,3,0,0.0,0
0.17417112037519925,67,0,6.9167150203536085,8.597297435657898,8,0,1,0,0.0,0
0.06035544017854359,46,0,0.7043288104789373,7.601402334583733,13,0,2,0,0.0,0
0.2971963788046355,48,0,0.43858703642318225,8.81001204797317,19,0,2,0,2.0,0
0.02573767315357228,40,0,3.1780538303479458,8.597297435657898,3,0,0,0,0.0,0
0.02082525913191857,60,1,0.24341498164624878,8.36799688505411,15,0,1,0,0.0,0
0.5793615984915116,56,0,0.4490444643301756,8.59748202264504,12,0,1,0,0.0,0
0.1525987567888454,56,0,0.42180059193359315,8.101374671228582,6,0,1,0,0.0,0
0.10294525195527228,85,0,0.02214404482185853,7.824445930877619,9,0,0,0,0.0,0
0.10195132125291051,78,0,0.04079239856229909,9.60689927061335,11,0,1,0,0.0,0
0.008123389744771661,60,0,0.7427587710758857,7.00397413672268,6,0,2,0,1.0,0
0.08626508416573568,57,0,6.716594773520978,8.597297435657898,10,0,0,0,0.0,0
0.01072924029571931,80,0,0.0020111293230250593,8.916103530553727,4,0,0,0,1.0,0
0.6015157997690169,43,1,0.20930737699706553,8.853808274977197,7,0,0,0,0.0,0
0.3915718008571128,29,0,0.4034634133866757,8.374246182096304,3,0,1,0,3.0,0
0.2633076355069199,67,0,0.11482545744164886,8.31898612539206,4,0,0,0,0.0,0
0.05751111163476838,54,0,4.382026634673881,8.597297435657898,1,0,0,0,0.0,0
0.16494043563386368,51,0,0.2746959176597223,9.84341902607001,19,0,2,0,0.0,0
0.6221379577809143,42,2,0.5255747861429371,9.24483841238375,13,3,2,2,2.0,0
0.26150067552803563,42,0,0.037745471673321936,8.881975184248867,11,0,0,0,3.0,0
0.693147130559944,59,0,0.3098805421300628,7.890956716138919,2,0,1,0,1.0,0
0.49941961789184564,59,1,0.43768127158138004,8.97853441008332,11,0,2,1,1.0,0
0.24754963310245381,74,0,0.49880652632411,7.462214939768189,14,0,0,0,0.0,0
0.10017919235530862,48,0,7.65491704784832,8.597297435657898,9,0,2,0,1.0,0
0.015102175894360664,41,0,0.21216950412223304,8.676587243566487,7,0,2,0,3.0,0
0.02859955493227762,69,0,5.768320995793772,8.597297435657898,16,0,0,0,1.0,0
0.2965618331719621,61,0,0.24479492118125495,8.414938957377482,14,0,2,0,0.0,0
0.011028000453681599,30,0,0.9061451518891157,7.497207223203318,7,0,2,0,0.0,0
0.18130098618889448,83,0,0.19644249703443875,7.937731775260109,9,0,0,0,0.0,0
0.6788911738639465,66,0,0.010874738110558807,8.071218539969863,2,0,0,0,0.0,0
0.04553720856547602,43,0,0.34706794969380506,9.259225769705994,9,0,1,0,0.0,0
0.11775778822655868,80,0,0.02871992232481598,6.8679744089702925,6,0,0,0,0.0,0
0.6109265447133619,57,0,0.2501693018738605,8.425735580927402,9,0,1,0,0.0,0
0.09511894515650877,32,0,7.597396320212795,8.597297435657898,6,0,1,0,0.0,0
0.6263367798572459,50,0,0.2551986828983196,8.649974302650056,5,0,2,0,1.0,0
0.29398602174462957,51,0,7.829232537543592,8.597297435657898,11,0,2,0,0.0,0
0.07121597070304857,81,1,7.571473648851271,8.597297435657898,9,0,3,0,0.0,0
0.032465508625923185,51,0,0.5589872704596885,7.824445930877619,8,0,1,0,2.0,0
0.006450468920679856,81,0,0.07586803383603424,8.699681400989514,6,0,0,0,0.0,0
0.009607540424073331,28,0,5.111987788356544,8.597297435657898,5,0,0,0,0.0,0
0.838239395670314,41,2,5.676753802268282,8.597297435657898,3,1,0,0,0.0,0
0.05757980659710372,49,0,0.1905769809818603,8.294299608857235,17,0,0,0,2.0,0
0.10379751931518312,50,0,0.08845236867889957,8.556606193773073,5,0,0,0,1.0,0
0.002118837677197887,55,0,0.39905750855180305,8.188966863648876,13,0,1,0,0.0,0
0.09763645918980218,73,0,7.757051142032013,8.597297435657898,9,0,1,0,2.0,0
0.7194906146724007,45,3,0.625076979710068,8.121480374750751,11,0,1,2,1.0,0
0.04293939604262458,40,0,0.057130638843115845,9.210440366976517,12,0,0,0,0.0,0
0.17431428482029185,61,0,7.616775808698373,8.597297435657898,13,0,2,0,0.0,0
0.17003770661779322,77,0,7.292337176173877,8.597297435657898,7,0,1,0,0.0,0
0.0026041352944340627,72,0,0.6162592895482814,8.31898612539206,11,0,2,0,0.0,0
0.013400978435886543,70,0,0.06292397909072779,7.0909098220799835,9,0,0,0,0.0,0
0.2711000942131991,33,0,0.7114661523913092,8.347353412124338,5,0,2,0,1.0,0
0.3250943879777568,51,0,0.3777059408916622,9.581972891547895,12,0,3,0,2.0,0
0.6574448487974572,30,1,0.31427016017653,8.071218539969863,9,0,0,0,1.0,0
0.6276796141267428,79,0,0.5334435244585378,8.131824785007195,11,0,2,0,0.0,0
0.690176203575235,51,0,0.6408738445094637,8.288031567776464,11,0,2,0,0.0,0
0.1846025450278695,57,0,0.2159800570461427,8.881975184248867,9,0,1,0,2.0,0
0.12817138981526016,48,0,0.5184287083273353,8.699681400989514,21,0,1,0,2.0,0
0.693147130559944,34,1,0.4646213142906634,8.06054004653864,4,1,1,1,2.0,0
0.1891498806370828,36,0,0.36341375267779624,8.682877107057168,8,0,1,0,0.0,0
0.0,42,0,0.3533645553436508,9.15915233520675,8,0,2,0,2.0,0
0.693147130559944,46,0,0.06971837251409159,8.412054873292933,6,0,0,0,2.0,0
0.06257857043841297,64,0,7.1569563646156364,8.597297435657898,7,0,1,0,1.0,0
0.6889475057579053,55,1,0.46667095454946456,8.888894669371593,9,0,2,0,1.0,0
0.02890139979213186,42,0,0.12245756588488885,9.245997049184217,6,0,1,0,0.0,0
